date,Temperature at 2M,Solar Irradiance,Wind Direction at 10 M
2023-01-01 00:00:00,2.87,0.0,254.04
2023-01-01 01:00:00,2.88,0.0,248.24
2023-01-01 02:00:00,2.95,0.0,239.75
2023-01-01 03:00:00,2.98,0.0,228.76
2023-01-01 04:00:00,3.01,0.0,214.46
2023-01-01 05:00:00,3.08,0.0,194.15
2023-01-01 06:00:00,3.19,0.0,167.74
2023-01-01 07:00:00,3.37,0.0,141.51
2023-01-01 08:00:00,3.69,0.0,130.35
2023-01-01 09:00:00,4.04,20.07,129.08
2023-01-01 10:00:00,4.33,69.62,133.33
2023-01-01 11:00:00,4.54,84.91,140.89
2023-01-01 12:00:00,4.69,93.81,148.31
2023-01-01 13:00:00,4.79,76.25,160.79
2023-01-01 14:00:00,4.8,55.16,179.52
2023-01-01 15:00:00,4.85,18.98,196.01
2023-01-01 16:00:00,4.9,0.0,204.74
2023-01-01 17:00:00,4.99,0.0,206.06
2023-01-01 18:00:00,5.07,0.0,204.2
2023-01-01 19:00:00,5.05,0.0,203.42
2023-01-01 20:00:00,4.84,0.0,209.75
2023-01-01 21:00:00,4.73,0.0,223.44
2023-01-01 22:00:00,4.74,0.0,241.54
2023-01-01 23:00:00,4.77,0.0,254.42
2023-01-02 00:00:00,4.72,0.0,260.64
2023-01-02 01:00:00,4.57,0.0,265.55
2023-01-02 02:00:00,4.58,0.0,271.67
2023-01-02 03:00:00,4.69,0.0,278.99
2023-01-02 04:00:00,4.78,0.0,287.64
2023-01-02 05:00:00,4.88,0.0,297.82
2023-01-02 06:00:00,5.01,0.0,308.64
2023-01-02 07:00:00,5.11,0.0,319.38
2023-01-02 08:00:00,5.15,0.0,327.99
2023-01-02 09:00:00,5.08,26.91,329.66
2023-01-02 10:00:00,4.9,36.25,325.67
2023-01-02 11:00:00,4.7,69.91,322.33
2023-01-02 12:00:00,4.53,80.66,324.21
2023-01-02 13:00:00,4.42,66.25,330.29
2023-01-02 14:00:00,4.38,37.68,340.52
2023-01-02 15:00:00,4.37,18.51,350.17
2023-01-02 16:00:00,4.37,0.0,0.52
2023-01-02 17:00:00,4.39,0.0,9.63
2023-01-02 18:00:00,4.4,0.0,18.43
2023-01-02 19:00:00,4.34,0.0,28.82
2023-01-02 20:00:00,4.26,0.0,39.65
2023-01-02 21:00:00,4.16,0.0,46.8
2023-01-02 22:00:00,4.04,0.0,49.27
2023-01-02 23:00:00,3.84,0.0,48.11
2023-01-03 00:00:00,3.67,0.0,44.82
2023-01-03 01:00:00,3.66,0.0,40.62
2023-01-03 02:00:00,3.76,0.0,36.33
2023-01-03 03:00:00,3.86,0.0,30.27
2023-01-03 04:00:00,3.97,0.0,22.9
2023-01-03 05:00:00,4.08,0.0,15.59
2023-01-03 06:00:00,4.17,0.0,8.95
2023-01-03 07:00:00,4.23,0.0,3.21
2023-01-03 08:00:00,4.3,0.0,358.33
2023-01-03 09:00:00,4.37,20.6,353.11
2023-01-03 10:00:00,4.44,51.06,346.73
2023-01-03 11:00:00,4.48,77.37,341.07
2023-01-03 12:00:00,4.54,68.77,336.84
2023-01-03 13:00:00,4.64,50.3,332.95
2023-01-03 14:00:00,4.8,34.51,330.07
2023-01-03 15:00:00,4.88,15.59,328.4
2023-01-03 16:00:00,4.8,0.0,327.62
2023-01-03 17:00:00,4.65,0.0,326.84
2023-01-03 18:00:00,4.61,0.0,326.38
2023-01-03 19:00:00,4.55,0.0,326.49
2023-01-03 20:00:00,4.43,0.0,327.63
2023-01-03 21:00:00,4.3,0.0,329.06
2023-01-03 22:00:00,4.17,0.0,329.4
2023-01-03 23:00:00,4.01,0.0,327.36
2023-01-04 00:00:00,3.82,0.0,322.97
2023-01-04 01:00:00,3.67,0.0,318.51
2023-01-04 02:00:00,3.61,0.0,315.13
2023-01-04 03:00:00,3.59,0.0,313.45
2023-01-04 04:00:00,3.58,0.0,312.41
2023-01-04 05:00:00,3.58,0.0,312.06
2023-01-04 06:00:00,3.57,0.0,313.38
2023-01-04 07:00:00,3.51,0.0,316.38
2023-01-04 08:00:00,3.35,0.0,317.52
2023-01-04 09:00:00,3.19,31.84,306.77
2023-01-04 10:00:00,3.14,88.85,222.56
2023-01-04 11:00:00,3.15,112.4,188.19
2023-01-04 12:00:00,3.12,153.55,189.66
2023-01-04 13:00:00,3.05,117.92,194.72
2023-01-04 14:00:00,2.98,95.71,190.8
2023-01-04 15:00:00,2.96,28.17,176.1
2023-01-04 16:00:00,2.94,0.0,157.07
2023-01-04 17:00:00,2.95,0.0,147.06
2023-01-04 18:00:00,2.95,0.0,128.79
2023-01-04 19:00:00,3.0,0.0,104.13
2023-01-04 20:00:00,3.1,0.0,105.09
2023-01-04 21:00:00,3.25,0.0,112.6
2023-01-04 22:00:00,3.41,0.0,120.37
2023-01-04 23:00:00,3.53,0.0,130.8
2023-01-05 00:00:00,3.63,0.0,135.69
2023-01-05 01:00:00,3.76,0.0,133.89
2023-01-05 02:00:00,3.9,0.0,129.92
2023-01-05 03:00:00,4.04,0.0,127.22
2023-01-05 04:00:00,4.12,0.0,128.71
2023-01-05 05:00:00,4.24,0.0,130.91
2023-01-05 06:00:00,4.39,0.0,130.66
2023-01-05 07:00:00,4.48,0.0,128.67
2023-01-05 08:00:00,4.63,0.0,127.19
2023-01-05 09:00:00,4.9,22.05,130.45
2023-01-05 10:00:00,5.1,50.71,138.27
2023-01-05 11:00:00,5.1,64.23,151.02
2023-01-05 12:00:00,4.89,39.39,163.63
2023-01-05 13:00:00,4.83,21.34,170.83
2023-01-05 14:00:00,4.92,23.65,172.37
2023-01-05 15:00:00,4.8,16.19,169.03
2023-01-05 16:00:00,4.61,0.0,163.39
2023-01-05 17:00:00,4.52,0.0,157.96
2023-01-05 18:00:00,4.47,0.0,157.87
2023-01-05 19:00:00,4.35,0.0,166.58
2023-01-05 20:00:00,4.08,0.0,195.75
2023-01-05 21:00:00,3.74,0.0,250.84
2023-01-05 22:00:00,3.46,0.0,277.73
2023-01-05 23:00:00,2.99,0.0,285.08
2023-01-06 00:00:00,2.62,0.0,285.47
2023-01-06 01:00:00,2.32,0.0,284.88
2023-01-06 02:00:00,1.96,0.0,284.64
2023-01-06 03:00:00,1.62,0.0,284.26
2023-01-06 04:00:00,1.34,0.0,284.72
2023-01-06 05:00:00,1.24,0.0,286.28
2023-01-06 06:00:00,1.34,0.0,286.62
2023-01-06 07:00:00,1.69,0.0,287.23
2023-01-06 08:00:00,2.2,0.0,289.17
2023-01-06 09:00:00,2.72,20.29,291.69
2023-01-06 10:00:00,3.16,28.08,294.26
2023-01-06 11:00:00,3.44,49.27,298.59
2023-01-06 12:00:00,3.94,69.68,308.63
2023-01-06 13:00:00,4.86,79.51,324.16
2023-01-06 14:00:00,5.74,52.48,342.36
2023-01-06 15:00:00,6.21,21.27,349.55
2023-01-06 16:00:00,6.35,0.0,349.16
2023-01-06 17:00:00,6.23,0.0,347.14
2023-01-06 18:00:00,6.01,0.0,345.49
2023-01-06 19:00:00,5.79,0.0,342.34
2023-01-06 20:00:00,5.55,0.0,339.27
2023-01-06 21:00:00,5.36,0.0,337.11
2023-01-06 22:00:00,5.26,0.0,335.61
2023-01-06 23:00:00,5.25,0.0,334.18
2023-01-07 00:00:00,5.19,0.0,334.0
2023-01-07 01:00:00,5.1,0.0,334.89
2023-01-07 02:00:00,5.11,0.0,335.88
2023-01-07 03:00:00,5.04,0.0,337.91
2023-01-07 04:00:00,4.8,0.0,338.74
2023-01-07 05:00:00,4.54,0.0,339.03
2023-01-07 06:00:00,4.38,0.0,337.35
2023-01-07 07:00:00,4.34,0.0,333.22
2023-01-07 08:00:00,4.31,0.0,328.12
2023-01-07 09:00:00,4.22,31.05,323.98
2023-01-07 10:00:00,4.22,71.45,321.74
2023-01-07 11:00:00,4.23,111.26,320.85
2023-01-07 12:00:00,4.17,123.34,320.68
2023-01-07 13:00:00,4.15,98.2,320.33
2023-01-07 14:00:00,4.23,40.54,319.52
2023-01-07 15:00:00,4.3,21.82,319.39
2023-01-07 16:00:00,4.31,0.0,319.73
2023-01-07 17:00:00,4.36,0.0,319.69
2023-01-07 18:00:00,4.49,0.0,319.82
2023-01-07 19:00:00,4.71,0.0,321.28
2023-01-07 20:00:00,5.01,0.0,323.49
2023-01-07 21:00:00,5.31,0.0,324.88
2023-01-07 22:00:00,5.57,0.0,324.54
2023-01-07 23:00:00,5.73,0.0,323.62
2023-01-08 00:00:00,5.75,0.0,322.44
2023-01-08 01:00:00,5.66,0.0,320.8
2023-01-08 02:00:00,5.55,0.0,317.3
2023-01-08 03:00:00,5.42,0.0,313.26
2023-01-08 04:00:00,5.31,0.0,309.69
2023-01-08 05:00:00,5.14,0.0,306.28
2023-01-08 06:00:00,4.92,0.0,301.33
2023-01-08 07:00:00,4.74,0.0,293.04
2023-01-08 08:00:00,4.55,0.0,281.75
2023-01-08 09:00:00,4.39,41.52,266.68
2023-01-08 10:00:00,4.27,78.88,246.25
2023-01-08 11:00:00,4.2,122.56,224.32
2023-01-08 12:00:00,4.19,150.3,207.34
2023-01-08 13:00:00,4.19,133.32,196.53
2023-01-08 14:00:00,4.21,75.78,186.37
2023-01-08 15:00:00,4.28,28.68,177.92
2023-01-08 16:00:00,4.36,0.0,170.31
2023-01-08 17:00:00,4.51,0.0,163.98
2023-01-08 18:00:00,4.6,0.0,156.31
2023-01-08 19:00:00,4.73,0.0,148.4
2023-01-08 20:00:00,4.98,0.0,140.3
2023-01-08 21:00:00,5.42,0.0,133.08
2023-01-08 22:00:00,5.8,0.0,126.81
2023-01-08 23:00:00,5.84,0.0,123.63
2023-01-09 00:00:00,5.43,0.0,121.61
2023-01-09 01:00:00,4.64,0.0,116.73
2023-01-09 02:00:00,3.69,0.0,112.15
2023-01-09 03:00:00,2.85,0.0,106.37
2023-01-09 04:00:00,2.86,0.0,104.37
2023-01-09 05:00:00,2.76,0.0,108.43
2023-01-09 06:00:00,3.33,0.0,115.0
2023-01-09 07:00:00,4.51,0.0,123.56
2023-01-09 08:00:00,5.94,0.0,145.2
2023-01-09 09:00:00,6.65,16.28,187.93
2023-01-09 10:00:00,6.4,15.8,213.93
2023-01-09 11:00:00,6.15,48.95,220.19
2023-01-09 12:00:00,6.14,81.79,223.35
2023-01-09 13:00:00,6.03,75.4,226.08
2023-01-09 14:00:00,5.8,42.98,226.3
2023-01-09 15:00:00,5.55,20.62,225.48
2023-01-09 16:00:00,5.33,0.0,225.29
2023-01-09 17:00:00,5.11,0.0,226.22
2023-01-09 18:00:00,4.87,0.0,227.92
2023-01-09 19:00:00,4.71,0.0,229.5
2023-01-09 20:00:00,4.6,0.0,231.37
2023-01-09 21:00:00,4.62,0.0,233.19
2023-01-09 22:00:00,4.63,0.0,235.91
2023-01-09 23:00:00,4.62,0.0,241.61
2023-01-10 00:00:00,4.88,0.0,251.79
2023-01-10 01:00:00,5.0,0.0,259.04
2023-01-10 02:00:00,5.04,0.0,262.43
2023-01-10 03:00:00,5.14,0.0,264.64
2023-01-10 04:00:00,4.85,0.0,265.7
2023-01-10 05:00:00,4.62,0.0,266.35
2023-01-10 06:00:00,4.29,0.0,266.2
2023-01-10 07:00:00,3.94,0.0,265.8
2023-01-10 08:00:00,3.76,0.0,266.02
2023-01-10 09:00:00,3.72,30.04,265.77
2023-01-10 10:00:00,3.75,58.27,264.6
2023-01-10 11:00:00,3.52,105.49,262.82
2023-01-10 12:00:00,2.8,107.81,260.57
2023-01-10 13:00:00,1.82,80.16,258.49
2023-01-10 14:00:00,1.23,53.73,257.27
2023-01-10 15:00:00,1.04,30.41,256.61
2023-01-10 16:00:00,1.05,0.0,257.62
2023-01-10 17:00:00,1.55,0.0,259.29
2023-01-10 18:00:00,2.36,0.0,259.42
2023-01-10 19:00:00,2.94,0.0,261.52
2023-01-10 20:00:00,3.27,0.0,261.48
2023-01-10 21:00:00,3.37,0.0,259.69
2023-01-10 22:00:00,3.41,0.0,257.67
2023-01-10 23:00:00,3.42,0.0,255.46
2023-01-11 00:00:00,3.4,0.0,253.91
2023-01-11 01:00:00,3.24,0.0,252.01
2023-01-11 02:00:00,2.94,0.0,249.05
2023-01-11 03:00:00,2.39,0.0,254.08
2023-01-11 04:00:00,1.87,0.0,334.98
2023-01-11 05:00:00,1.78,0.0,51.84
2023-01-11 06:00:00,1.8,0.0,53.6
2023-01-11 07:00:00,2.03,0.0,43.2
2023-01-11 08:00:00,2.26,0.0,21.46
2023-01-11 09:00:00,2.51,34.55,345.21
2023-01-11 10:00:00,2.77,66.08,321.96
2023-01-11 11:00:00,2.89,57.91,309.33
2023-01-11 12:00:00,2.95,75.87,299.96
2023-01-11 13:00:00,3.08,43.93,291.19
2023-01-11 14:00:00,3.34,44.23,281.81
2023-01-11 15:00:00,3.57,23.62,273.98
2023-01-11 16:00:00,3.84,0.0,268.91
2023-01-11 17:00:00,4.13,0.0,265.85
2023-01-11 18:00:00,4.4,0.0,264.31
2023-01-11 19:00:00,4.54,0.0,263.04
2023-01-11 20:00:00,4.44,0.0,261.64
2023-01-11 21:00:00,4.33,0.0,261.28
2023-01-11 22:00:00,4.41,0.0,263.49
2023-01-11 23:00:00,4.64,0.0,269.63
2023-01-12 00:00:00,4.95,0.0,279.75
2023-01-12 01:00:00,5.19,0.0,290.34
2023-01-12 02:00:00,5.32,0.0,296.31
2023-01-12 03:00:00,5.17,0.0,295.49
2023-01-12 04:00:00,4.93,0.0,290.93
2023-01-12 05:00:00,4.67,0.0,285.89
2023-01-12 06:00:00,4.56,0.0,281.55
2023-01-12 07:00:00,4.49,0.0,278.05
2023-01-12 08:00:00,4.4,0.0,274.98
